iter	Passed	Remaining
0	59	59067
1	59	29687
2	59	19891
3	60	14992
4	61	12316
5	62	10315
6	62	8884
7	62	7810
8	64	7133
9	65	6452
10	65	5901
11	66	5435
12	66	5042
13	66	4718
14	67	4430
15	67	4180
16	68	3964
17	69	3766
18	69	3586
19	69	3423
20	70	3277
21	70	3147
22	71	3024
23	71	2912
24	72	2808
25	72	2714
26	72	2630
27	73	2553
28	74	2482
29	76	2465
30	76	2401
31	77	2335
32	77	2273
33	78	2227
34	82	2277
35	83	2225
36	83	2174
37	83	2126
38	84	2079
39	84	2035
40	85	1994
41	85	1953
42	86	1915
43	86	1877
44	86	1841
45	87	1808
46	87	1778
47	88	1749
48	88	1721
49	89	1693
50	89	1667
51	90	1641
52	90	1615
53	90	1590
54	91	1565
55	91	1543
56	91	1521
57	92	1500
58	92	1479
59	93	1458
60	93	1441
61	94	1423
62	94	1405
63	94	1387
64	95	1370
65	95	1353
66	96	1337
67	96	1324
68	96	1308
69	97	1293
70	97	1277
71	98	1263
72	98	1249
73	98	1235
74	99	1222
75	99	1209
76	99	1198
77	100	1186
78	100	1175
79	101	1163
80	101	1152
81	102	1142
82	102	1129
83	102	1119
84	103	1109
85	103	1100
86	104	1091
87	104	1082
88	104	1073
89	105	1064
90	105	1055
91	106	1047
92	106	1038
93	106	1029
94	107	1022
95	107	1014
96	108	1006
97	108	999
98	108	991
99	109	984
100	109	976
101	110	969
102	110	962
103	110	955
104	111	948
105	111	942
106	112	936
107	112	929
108	113	924
109	113	918
110	113	912
111	114	906
112	114	900
113	115	893
114	115	887
115	115	882
116	116	876
117	116	870
118	116	865
119	117	860
120	117	854
121	117	848
122	118	843
123	118	838
124	119	833
125	119	829
126	119	823
127	120	819
128	120	814
129	121	810
130	121	806
131	121	802
132	122	798
133	122	794
134	123	790
135	123	786
136	124	782
137	124	778
138	125	774
139	125	771
140	125	767
141	126	762
142	126	758
143	126	754
144	127	750
145	127	747
146	128	744
147	128	740
148	129	737
149	129	733
150	129	729
151	130	726
152	130	723
153	131	720
154	131	718
155	132	716
156	133	714
157	133	710
158	133	707
159	134	704
160	134	700
161	134	696
162	135	693
163	135	690
164	135	687
165	136	684
166	136	681
167	137	678
168	137	675
169	137	673
170	138	670
171	138	668
172	139	665
173	139	662
174	140	660
175	140	658
176	140	655
177	141	652
178	141	649
179	142	647
180	142	644
181	142	642
182	143	639
183	143	637
184	144	634
185	144	632
186	145	631
187	145	628
188	146	626
189	146	624
190	146	621
191	147	619
192	147	618
193	148	616
194	148	614
195	149	612
196	149	609
197	149	607
198	150	605
199	150	603
200	151	601
201	151	599
202	152	597
203	152	595
204	152	593
205	153	591
206	153	589
207	154	587
208	154	585
209	155	583
210	155	581
211	155	579
212	156	577
213	156	575
214	157	573
215	157	571
216	157	569
217	158	567
218	158	565
219	159	564
220	159	562
221	160	560
222	160	559
223	161	558
224	161	556
225	161	554
226	162	553
227	162	551
228	163	549
229	163	548
230	164	546
231	164	544
232	164	542
233	165	540
234	165	539
235	166	537
236	166	535
237	166	534
238	167	532
239	167	530
240	168	529
241	168	527
242	168	526
243	169	524
244	169	522
245	170	521
246	170	519
247	171	518
248	171	517
249	172	516
250	172	514
251	172	512
252	173	511
253	173	509
254	173	507
255	174	506
256	174	504
257	175	503
258	175	501
259	175	500
260	176	499
261	176	497
262	176	495
263	177	494
264	177	492
265	178	491
266	178	490
267	179	489
268	179	487
269	179	486
270	180	484
271	180	483
272	181	482
273	181	480
274	181	479
275	182	478
276	182	476
277	183	475
278	183	474
279	183	473
280	184	471
281	184	470
282	185	469
283	185	467
284	185	466
285	186	465
286	186	464
287	187	463
288	187	461
289	188	460
290	188	459
291	188	458
292	189	456
293	189	455
294	190	454
295	190	453
296	190	452
297	191	450
298	191	449
299	192	448
300	192	447
301	193	446
302	193	445
303	193	444
304	194	442
305	194	441
306	194	440
307	195	439
308	195	437
309	196	436
310	196	435
311	197	434
312	197	433
313	197	432
314	198	430
315	198	429
316	198	428
317	199	427
318	199	426
319	200	425
320	200	423
321	200	422
322	201	421
323	201	420
324	202	419
325	202	418
326	202	417
327	203	416
328	203	415
329	204	414
330	204	413
331	205	412
332	205	411
333	205	410
334	206	409
335	206	408
336	206	407
337	207	406
338	207	405
339	208	404
340	208	403
341	209	402
342	209	401
343	209	400
344	210	399
345	210	398
346	211	397
347	211	396
348	211	395
349	212	394
350	212	393
351	213	392
352	213	391
353	213	390
354	214	389
355	214	388
356	214	387
357	215	386
358	215	385
359	216	384
360	216	383
361	216	382
362	217	381
363	217	380
364	218	379
365	218	378
366	218	377
367	219	376
368	219	375
369	220	374
370	220	373
371	220	372
372	221	371
373	221	370
374	221	369
375	222	369
376	222	368
377	223	367
378	223	366
379	223	365
380	224	364
381	224	363
382	225	362
383	225	361
384	225	360
385	226	359
386	226	358
387	227	358
388	227	357
389	227	356
390	228	355
391	228	354
392	229	353
393	229	353
394	230	352
395	230	351
396	230	350
397	231	349
398	231	348
399	231	347
400	232	347
401	232	346
402	233	345
403	233	344
404	233	343
405	234	342
406	234	341
407	234	340
408	235	340
409	235	339
410	236	338
411	236	337
412	236	336
413	237	335
414	237	335
415	238	334
416	238	333
417	238	332
418	239	331
419	239	331
420	240	330
421	240	329
422	240	328
423	241	327
424	241	327
425	242	326
426	242	325
427	242	324
428	243	323
429	243	323
430	244	322
431	244	321
432	244	320
433	245	319
434	245	319
435	246	318
436	246	317
437	246	316
438	247	315
439	247	315
440	247	314
441	248	313
442	248	312
443	249	311
444	249	311
445	249	310
446	250	309
447	250	308
448	251	308
449	251	307
450	251	306
451	252	305
452	252	304
453	252	304
454	253	303
455	253	302
456	253	301
457	254	301
458	254	300
459	255	299
460	255	298
461	255	297
462	256	297
463	256	296
464	257	295
465	257	295
466	257	294
467	258	293
468	258	292
469	259	292
470	259	291
471	259	290
472	260	289
473	260	289
474	261	288
475	261	288
476	262	287
477	262	286
478	262	286
479	263	285
480	263	284
481	264	283
482	264	283
483	264	282
484	265	281
485	265	281
486	266	280
487	266	279
488	266	278
489	267	278
490	267	277
491	267	276
492	268	275
493	268	275
494	269	274
495	269	273
496	269	273
497	270	272
498	270	271
499	270	270
500	271	270
501	271	269
502	272	268
503	272	268
504	273	267
505	273	266
506	273	266
507	274	265
508	274	264
509	275	264
510	275	263
511	275	262
512	276	262
513	276	261
